Symbol,Volatility,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown,Vol_N,Sharpe_N,Sortino_N,MDD_N,Risk_Score
TELCO,0.49297553116861337,0.5985691882099748,0.9056482382094473,-0.7728414139463012,0.435539579121524,0.744226413417658,0.7036683952890608,0.2963313342955789,32.0994026177596
BAJAJ-AUTO,0.3388339741995839,0.615185932286405,0.7172334251719463,-0.599151131824235,0.1677660071448242,0.7501740254248367,0.6651189324710751,0.5383380651427059,32.27027785979046
HINDALCO,0.46187801021676944,0.3751877844052038,0.5722228953626505,-0.8299226921327879,0.3815171958743598,0.6642717656636372,0.6354499381017883,0.21679865487498362,32.46485367459794
IOC,0.4209663468025589,0.11346344841511807,0.12636796674205872,-0.9099943392666201,0.3104457569752915,0.5705930764965161,0.5442285117394446,0.10523295690009604,32.52142814098566
POWERGRID,0.29711864457583814,0.346541829668129,0.4830996834710896,-0.6412001237240952,0.0952984452544236,0.6540185521840489,0.6172154273027389,0.4797502216503976,32.59536718545083
BHARTIARTL,0.3845486107143838,0.2723275856743135,0.3626571721459142,-0.7847465908586154,0.2471811353677989,0.6274551335834458,0.592573022402703,0.27974357296831576,32.67241380874915
WIPRO,0.4859248309293914,0.1129225956699928,0.12099835036143507,-0.9830664045184069,0.42329115484764196,0.5703994896983909,0.5431298941537324,0.0034199400071592834,32.82954277506695
HCLTECH,0.5162707037090039,0.23469825231713187,0.2628699809532147,-0.9681818987992835,0.4760077804528963,0.6139865097743595,0.5721566732071196,0.024158869815730233,32.85058668217869
NESTLEIND,0.2422609130237383,0.8170721280651233,1.279066077917238,-0.3240105825819344,0.0,0.8224349182070941,0.7800692731994556,0.9216978250100819,32.9798408400883
SUNPHARMA,0.4623146323030366,0.21763743498675353,0.21136296746851635,-0.9070559610705596,0.38227569253121635,0.6078799511405071,0.5616183950898961,0.1093270679380487,33.052610355971545
AXISBANK,0.4758031206743958,0.3537502619825787,0.40078905285214195,-0.850174216027874,0.40570779470266854,0.6565986580332549,0.6003747631138859,0.18858173316443017,33.432902667998945
INFY,0.4003212515267691,0.05841469985457814,0.0514188813706744,-0.8794177603701413,0.2745812502549639,0.5508895415312497,0.5288940115842411,0.14783601913719746,33.565842906916764
HEROMOTOCO,0.2871492410397066,0.29562496669243293,0.4506455888804563,-0.6163202805665662,0.07797967121425065,0.6357939382519084,0.6105753553649556,0.5144158887964233,33.65065665984525
ADANIPORTS,0.38175023320998597,0.6656321717991691,0.9788171637837401,-0.5369359331476325,0.24231981467773728,0.7682301896446798,0.7186386767143156,0.6250239560099199,34.51187260821654
VEDL,0.4729326650402762,0.2988304518184017,0.39425018597045786,-0.821903935185185,0.4007212604190991,0.6369412738392145,0.5990369181660099,0.22797137640342946,34.8178611204326
TISCO,0.4396999319538281,0.5876906061757762,0.7434711837736843,-0.6310013717421129,0.34298960245424254,0.7403326551199989,0.6704871489257106,0.49396038122711816,35.65325449089128
HINDUNILVR,0.26745188353883304,0.8167087463503606,1.3101907678857465,-0.2678124478558326,0.04376156754237248,0.8223048534098047,0.7864373504186473,1.0,35.87548409284801
HINDALC0,0.4857836882760266,0.018460540127350343,0.017122905289371246,-0.9221445063153607,0.4230459628748025,0.5365887953057926,0.5218770927261173,0.0883038450880389,36.322097998273286
ZEEL,0.4591358767290397,0.20388552230569326,0.25758944713938126,-0.8057548092598628,0.3767535818737963,0.6029577449244553,0.5710762818162635,0.25047233111129974,36.32979715610943
UNIPHOS,0.529299166651786,0.11443471810059941,0.12186432629837625,-0.9253084865273232,0.4986407298544377,0.5709407219327706,0.5433070718747629,0.08389539748690078,36.70720833834512
COALINDIA,0.2982623958424906,-0.15845228421384455,-0.2356107465062634,-0.7506765899864675,0.09728536149003647,0.4732665925062635,0.47016806647874676,0.3272141017180632,37.02662010557723
BPCL,0.4681564738205185,0.26272321119724357,0.31011967773417076,-0.773052148592605,0.39242409638036274,0.6240174509244052,0.5818239090250169,0.2960377127860443,37.065511230424626
HINDLEVER,0.47921019556450284,-0.17262387397829818,-0.16339823097793374,-0.9662077198567448,0.41162653998626136,0.4681941717566757,0.4849426674640658,0.026909539491396295,37.134981006422905
INFOSYSTCH,0.533483722123475,0.06599790573546645,0.06735853071723093,-0.9346045005013082,0.50591010865028,0.5536037896500525,0.5321552462499811,0.07094304388215344,37.27735291581
SSLT,0.37829697321464,0.4672776894850595,0.769465734400186,-0.4101748807631152,0.23632083697113598,0.6972333989820317,0.6758056052970105,0.8016430938886828,41.62312316451941
ZEETELE,0.6365882191668258,-0.03184118792024807,-0.04524142538974876,-0.9595900629175587,0.6850224778454761,0.518584355907698,0.5091174194927564,0.036130075621303215,42.33626945165812
MUNDRAPORT,0.6536176823651193,-0.22809264700098753,-0.23588309452975728,-0.9122719798080231,0.7146059352797942,0.4483402979209964,0.47011234437369587,0.10205946708399649,47.45531900172747
KOTAKMAH,0.8179023246505811,0.21282412329792652,0.24766397724274308,-0.889451305932375,1.0,0.6061571280493476,0.5690455416288911,0.13385604552753172,48.96633439623233
JSWSTL,0.3430962987604276,-1.4806888117662182,-2.5336097811508,-0.3643212871919292,0.17517048582678302,0.0,0.0,0.8655319778387756,76.01756159163897
